Oper,DataType,Code,#Operand,#Result,Latency,Throughput,UMC28-Area (um2),UMC28-Power (uW),VU9P-TotalLUTs,VU9P-LogicLUTs,VU9P-LUTRAMs,VU9P-SRLs,VU9P-FFs,VU9P-RAMB36,VU9P-RAMB18,VU9P-URAM,VU9P-DSPBlocks,Notes
Mul,I8x8,123,2,1,1,1,,,544,544,0,0,0,0,0,0,0,
SI32ToUI16,I32x2,124,1,1,1,1,,,9,9,0,0,0,0,0,0,0,
SI8ToUI16,I32x2,125,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
NE,U16x4,126,2,1,1,1,,,28,28,0,0,0,0,0,0,0,
SI8ToD64,D64x2,127,1,1,1,1,,,55,55,0,0,0,0,0,0,0,
FNE,H16x8,128,2,1,1,1,,,170,170,0,0,0,0,0,0,0,
Add,I16,129,2,1,1,1,,,25,25,0,0,0,0,0,0,0,
SI8ToSI32,U32x8,130,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
EQ,I32x2,131,2,1,1,1,,,24,24,0,0,0,0,0,0,0,
ppMulAdd,U32,132,3,1,1,1,,,103,103,0,0,0,0,0,0,4,
Select,U16,133,3,1,1,1,,,17,17,0,0,0,0,0,0,0,
SI8ToH16,F32x8,134,1,1,1,1,,,221,221,0,0,0,0,0,0,0,
BOr,bitwise,135,2,1,1,1,,,64,64,0,0,0,0,0,0,0,
FpnMulAdd,H16x4,136,3,1,1,1,,,2769,2769,0,0,0,0,0,0,4,
UI32ToSI64,I64,137,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
LNot,U8x4,138,1,1,1,1,,,9,9,0,0,0,0,0,0,0,
SI16ToSI8,I16,139,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
FGE,D64x4,140,2,1,1,1,,,2359,2359,0,0,0,0,0,0,0,
UI32ToUI64,U64x2,141,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
SI64ToSI32,I64x8,142,1,1,1,1,,,62,62,0,0,0,0,0,0,0,
NE,I32x2,143,2,1,1,1,,,24,24,0,0,0,0,0,0,0,
LAnd,U8,144,2,1,1,1,,,6,6,0,0,0,0,0,0,0,
SI32ToF32,D64,145,1,1,1,1,,,221,221,0,0,0,0,0,0,0,
F32ToH16,D64x8,146,1,1,1,1,,,1846,1846,0,0,0,0,0,0,0,
SI32ToSI64,U64x4,147,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI64ToSI8,I64x4,148,1,1,1,1,,,48,48,0,0,0,0,0,0,0,
NE,U16,149,2,1,1,1,,,8,8,0,0,0,0,0,0,0,
Cat,U32x4,150,2,1,1,1,,,65,65,0,0,0,0,0,0,0,
SI8ToUI8,I32x8,151,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
FnnMulAdd,H16x2,152,3,1,1,1,,,1410,1410,0,0,0,0,0,0,2,
UI16ToSI32,I32x8,153,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
UI64ToSI16,U64x2,154,1,1,1,1,,,22,22,0,0,0,0,0,0,0,
FnnMulAdd,D64x2,155,3,1,1,1,,,6166,6166,0,0,0,0,0,0,18,
FnnMulAdd,H16,156,3,1,1,1,,,696,696,0,0,0,0,0,0,1,
UI32ToF32,F32x4,157,1,1,1,1,,,507,507,0,0,0,0,0,0,0,
UI8ToSI8,U32x8,158,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
UI64ToUI8,U64x4,159,1,1,1,1,,,48,48,0,0,0,0,0,0,0,
SI64ToD64,D64,160,1,1,1,1,,,504,504,0,0,0,0,0,0,0,
UI8ToSI16,I16x4,161,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
LOr,U64x2,162,2,1,1,1,,,65,65,0,0,0,0,0,0,0,
UI32ToUI8,I64x2,163,1,1,1,1,,,12,12,0,0,0,0,0,0,0,
SI64ToUI64,U64x2,164,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI16ToSI32,I64,165,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI32ToUI8,U32x4,166,1,1,1,1,,,24,24,0,0,0,0,0,0,0,
UI16ToUI32,U32x2,167,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
FDiv,D64,168,2,1,1,1,,,1256,1256,0,0,354,0,0,0,0,
UI8ToUI32,I32x2,169,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
RShf,U16,170,2,1,1,1,,,36,36,0,0,0,0,0,0,0,
UI16ToUI8,U64,171,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
npMulAdd,I16x8,172,3,1,1,1,,,91,91,0,0,0,0,0,0,8,
UI16ToUI8,I32,173,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI32ToUI64,I64x8,174,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
nnMulAdd,U16x4,175,3,1,1,1,,,46,46,0,0,0,0,0,0,4,
LNot,I16x4,176,1,1,1,1,,,17,17,0,0,0,0,0,0,0,
UI16ToSI32,U32x4,177,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI16ToSI8,U32x2,178,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
Select,U8x2,179,3,1,1,1,,,17,17,0,0,0,0,0,0,0,
UI16ToSI16,U16x4,180,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
SI32ToUI32,U64x2,181,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI8ToSI32,I32,182,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
Cat,U8x2,183,2,1,1,1,,,9,9,0,0,0,0,0,0,0,
F32ToSI32,D64,184,1,1,1,1,,,322,322,0,0,0,0,0,0,0,
nnMulAdd,I64x2,185,3,1,1,1,,,715,715,0,0,0,0,0,0,32,
UI8ToSI16,U64x4,186,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI64ToD64,D64x4,187,1,1,1,1,,,1978,1978,0,0,0,0,0,0,0,
UI8ToSI32,U32x2,188,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
UI16ToSI16,U64x4,189,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
EQ,U16x8,190,2,1,1,1,,,56,56,0,0,0,0,0,0,0,
UI32ToSI16,U64x8,191,1,1,1,1,,,32,32,0,0,0,0,0,0,0,
SI32ToSI16,I32,192,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
FLE,F32x4,193,2,1,1,1,,,900,900,0,0,0,0,0,0,0,
Select,I64x2,194,3,1,1,1,,,129,129,0,0,0,0,0,0,0,
SI32ToUI8,U64,195,1,1,1,1,,,6,6,0,0,0,0,0,0,0,
NE,U8,196,2,1,1,1,,,5,5,0,0,0,0,0,0,0,
Mod,I16x2,197,2,1,1,1,,,720,720,0,0,0,0,0,0,0,
GE,U8x8,198,2,1,1,1,,,37,37,0,0,0,0,0,0,0,
UI64ToUI32,I64x2,199,1,1,1,1,,,16,16,0,0,0,0,0,0,0,
SI8ToSI16,I16x4,200,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
LAnd,I64,201,2,1,1,1,,,36,36,0,0,0,0,0,0,0,
npMulAdd,U16x8,202,3,1,1,1,,,91,91,0,0,0,0,0,0,8,
UI64ToUI32,I64x8,203,1,1,1,1,,,62,62,0,0,0,0,0,0,0,
LE,I32x8,204,2,1,1,1,,,133,133,0,0,0,0,0,0,0,
UI32ToSI16,I64,205,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
UI32ToH16,F32x8,206,1,1,1,1,,,1048,1048,0,0,0,0,0,0,0,
Select,U32,207,3,1,1,1,,,33,33,0,0,0,0,0,0,0,
SI16ToUI32,I64,208,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
FEQ,F32,209,2,1,1,1,,,225,225,0,0,0,0,0,0,0,
SI8ToUI64,U64x8,210,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
UI8ToUI32,U32,211,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
FixedCos,U16,212,1,1,1,1,,,69,69,0,0,0,0,0,0,0,
SI8ToUI8,U8,213,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI8ToD64,D64x4,214,1,1,1,1,,,85,85,0,0,0,0,0,0,0,
Div,I8x4,215,2,1,1,1,,,424,424,0,0,0,0,0,0,0,
UI16ToSI16,U16,216,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI16ToSI64,U64,217,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
F32ToD64,D64x2,218,1,1,1,1,,,518,518,0,0,0,0,0,0,0,
LOr,I32x4,219,2,1,1,1,,,66,66,0,0,0,0,0,0,0,
EQ,I64,220,2,1,1,1,,,24,24,0,0,0,0,0,0,0,
H16ToSI16,H16x8,221,1,1,1,1,,,1036,1036,0,0,0,0,0,0,0,
SI8ToUI8,U32,222,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI16ToSI64,I64x4,223,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
Div,U64x2,224,2,1,1,1,,,8428,8428,0,0,0,0,0,0,0,
SI8ToUI8,I16x8,225,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
SI16ToSI8,I32x4,226,1,1,1,1,,,10,10,0,0,0,0,0,0,0,
pnMulAdd,U8,227,3,1,1,1,,,93,93,0,0,0,0,0,0,0,
FGE,H16x8,228,2,1,1,1,,,825,825,0,0,0,0,0,0,0,
UI32ToSI64,U64x4,229,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
ppMulAdd,I16x8,230,3,1,1,1,,,91,91,0,0,0,0,0,0,8,
FixedSin,I8x8,231,1,1,1,1,,,248,248,0,0,0,0,0,0,0,
npMulAdd,U16,232,3,1,1,1,,,44,44,0,0,0,0,0,0,1,
UI8ToSI64,I64x2,233,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
SI8ToUI64,U64x4,234,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
LT,U16,235,2,1,1,1,,,10,10,0,0,0,0,0,0,0,
UI32ToUI16,I32,236,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
D64ToH16,D64,237,1,1,1,1,,,354,354,0,0,0,0,0,0,0,
pnMulAdd,U16x4,238,3,1,1,1,,,46,46,0,0,0,0,0,0,4,
EQ,U64x2,239,2,1,1,1,,,46,46,0,0,0,0,0,0,0,
H16ToF32,F32,240,1,1,1,1,,,55,55,0,0,0,0,0,0,0,
UI16ToUI64,I64x2,241,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
UI8ToUI32,I32,242,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
LAnd,U32,243,2,1,1,1,,,19,19,0,0,0,0,0,0,0,
UI16ToSI64,U64x2,244,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
Select,I32x4,245,3,1,1,1,,,129,129,0,0,0,0,0,0,0,
GE,U16x2,246,2,1,1,1,,,18,18,0,0,0,0,0,0,0,
UI64ToSI64,U64,247,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI16ToSI64,I64,248,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
LXor,U32x8,249,2,1,1,1,,,105,105,0,0,0,0,0,0,0,
Add,U16,250,2,1,1,1,,,25,25,0,0,0,0,0,0,0,
UI32ToD64,D64,251,1,1,1,1,,,129,129,0,0,0,0,0,0,0,
GT,U64x2,252,2,1,1,1,,,66,66,0,0,0,0,0,0,0,
Mod,I8x4,253,2,1,1,1,,,453,453,0,0,0,0,0,0,0,
SI16ToSI32,I32x2,254,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
SI32ToUI32,I32,255,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI16ToSI32,I64x2,256,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
SI16ToSI32,U64x4,257,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI16ToSI16,I32x2,258,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI8ToSI16,I64x8,259,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
UI16ToUI8,I16x8,260,1,1,1,1,,,18,18,0,0,0,0,0,0,0,
GE,U32x8,261,2,1,1,1,,,133,133,0,0,0,0,0,0,0,
LOr,I32,262,2,1,1,1,,,21,21,0,0,0,0,0,0,0,
UI8ToUI16,I32x8,263,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
SI16ToH16,H16x2,264,1,1,1,1,,,139,139,0,0,0,0,0,0,0,
Sub,I64,265,2,1,1,1,,,97,97,0,0,0,0,0,0,0,
Cat,I16x4,266,2,1,1,1,,,33,33,0,0,0,0,0,0,0,
LE,I16x8,267,2,1,1,1,,,69,69,0,0,0,0,0,0,0,
NE,I8x4,268,2,1,1,1,,,17,17,0,0,0,0,0,0,0,
LE,U16x8,269,2,1,1,1,,,69,69,0,0,0,0,0,0,0,
Select,I64,270,3,1,1,1,,,65,65,0,0,0,0,0,0,0,
UI32ToUI64,U64,271,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI32ToUI16,U64x4,272,1,1,1,1,,,16,16,0,0,0,0,0,0,0,
UI32ToUI16,U32x8,273,1,1,1,1,,,31,31,0,0,0,0,0,0,0,
pnMulAdd,U8x2,274,3,1,1,1,,,192,192,0,0,0,0,0,0,0,
H16ToF32,F32x2,275,1,1,1,1,,,110,110,0,0,0,0,0,0,0,
EQ,I8,276,2,1,1,1,,,5,5,0,0,0,0,0,0,0,
SI8ToUI8,I32x4,277,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
LShf,U8,278,2,1,1,1,,,13,13,0,0,0,0,0,0,0,
SI8ToSI64,U64,279,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI64ToSI8,I64,280,1,1,1,1,,,13,13,0,0,0,0,0,0,0,
npMulAdd,I16,281,3,1,1,1,,,44,44,0,0,0,0,0,0,1,
SI32ToSI8,U64x8,282,1,1,1,1,,,46,46,0,0,0,0,0,0,0,
GE,U32x2,283,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
LT,U32x2,284,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
UI8ToSI16,U16x4,285,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
GE,U64,286,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
UI8ToUI16,U64x8,287,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
SI32ToF32,F32x4,288,1,1,1,1,,,883,883,0,0,0,0,0,0,0,
FLT,F32x2,289,2,1,1,1,,,485,485,0,0,0,0,0,0,0,
Mod,U64,290,2,1,1,1,,,4362,4362,0,0,0,0,0,0,0,
FDiv,H16x2,291,2,1,1,1,,,732,732,0,0,226,0,0,0,0,
UI8ToSI8,I32x2,292,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
F32ToUI16,F32x2,293,1,1,1,1,,,424,424,0,0,0,0,0,0,0,
SI32ToUI16,I64x2,294,1,1,1,1,,,9,9,0,0,0,0,0,0,0,
Cat,I64x2,295,2,1,1,1,,,65,65,0,0,0,0,0,0,0,
SI16ToD64,D64x2,296,1,1,1,1,,,141,141,0,0,0,0,0,0,0,
LOr,U8x8,297,2,1,1,1,,,41,41,0,0,0,0,0,0,0,
UI16ToSI32,U32x8,298,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
FEQ,F32x8,299,2,1,1,1,,,1784,1784,0,0,0,0,0,0,0,
LXor,I16x8,300,2,1,1,1,,,56,56,0,0,0,0,0,0,0,
SI16ToUI16,U16x4,301,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
pnMulAdd,I64x2,302,3,1,1,1,,,717,717,0,0,0,0,0,0,32,
UI8ToSI32,U64x8,303,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
UI16ToF32,F32,304,1,1,1,1,,,76,76,0,0,0,0,0,0,0,
F32ToSI8,D64,305,1,1,1,1,,,181,181,0,0,0,0,0,0,0,
UI32ToSI8,I32x8,306,1,1,1,1,,,45,45,0,0,0,0,0,0,0,
SI32ToSI8,U32x8,307,1,1,1,1,,,46,46,0,0,0,0,0,0,0,
SI8ToH16,D64x8,308,1,1,1,1,,,221,221,0,0,0,0,0,0,0,
SI8ToSI32,U64x2,309,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
SI16ToUI64,I64,310,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
LAnd,U64x2,311,2,1,1,1,,,71,71,0,0,0,0,0,0,0,
NE,U32,312,2,1,1,1,,,13,13,0,0,0,0,0,0,0,
NE,I64x4,313,2,1,1,1,,,91,91,0,0,0,0,0,0,0,
UI8ToSI64,U64x2,314,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
UI16ToSI8,I32x2,315,1,1,1,1,,,6,6,0,0,0,0,0,0,0,
SI16ToUI16,I64x2,316,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI16ToSI8,U64,317,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI8ToUI32,U32x8,318,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
LT,I16x8,319,2,1,1,1,,,69,69,0,0,0,0,0,0,0,
D64ToH16,D64x4,320,1,1,1,1,,,1691,1691,0,0,0,0,0,0,0,
UI32ToUI8,U64x8,321,1,1,1,1,,,46,46,0,0,0,0,0,0,0,
SI8ToUI8,I64x4,322,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
SI32ToUI8,I64,323,1,1,1,1,,,6,6,0,0,0,0,0,0,0,
FSub,D64,324,2,1,1,1,,,2123,2123,0,0,0,0,0,0,0,
UI16ToUI8,I16x2,325,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
SI32ToSI64,I64,326,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI8ToSI32,U64,327,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
Add,U16x2,328,2,1,1,1,,,49,49,0,0,0,0,0,0,0,
SI8ToUI8,I16x4,329,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
Sub,I32,330,2,1,1,1,,,49,49,0,0,0,0,0,0,0,
UI32ToSI16,I64x2,331,1,1,1,1,,,9,9,0,0,0,0,0,0,0,
GE,U32,332,2,1,1,1,,,18,18,0,0,0,0,0,0,0,
LNot,U32x2,333,1,1,1,1,,,15,15,0,0,0,0,0,0,0,
SI16ToH16,F32x8,334,1,1,1,1,,,562,562,0,0,0,0,0,0,0,
F32ToSI32,D64x8,335,1,1,1,1,,,2314,2314,0,0,0,0,0,0,0,
NE,U32x4,336,2,1,1,1,,,47,47,0,0,0,0,0,0,0,
UI8ToSI16,I64x8,337,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
pnMulAdd,U16x8,338,3,1,1,1,,,91,91,0,0,0,0,0,0,8,
UI16ToSI16,I64,339,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
LOr,I32x8,340,2,1,1,1,,,130,130,0,0,0,0,0,0,0,
SI8ToF32,D64x8,341,1,1,1,1,,,221,221,0,0,0,0,0,0,0,
SI32ToUI64,U64,342,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
FixedCos,U8,343,1,1,1,1,,,30,30,0,0,0,0,0,0,0,
UI32ToH16,D64,344,1,1,1,1,,,129,129,0,0,0,0,0,0,0,
FMul,H16x2,345,2,1,1,1,,,456,456,0,0,0,0,0,0,2,
FppMulAdd,H16,346,3,1,1,1,,,675,675,0,0,0,0,0,0,1,
nnMulAdd,I64,347,3,1,1,1,,,360,360,0,0,0,0,0,0,16,
LNot,U32,348,1,1,1,1,,,8,8,0,0,0,0,0,0,0,
SI16ToUI16,I32x2,349,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI8ToSI16,U16,350,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI8ToSI16,I64x4,351,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
Add,I16x8,352,2,1,1,1,,,193,193,0,0,0,0,0,0,0,
FixedSin,U16,353,1,1,1,1,,,68,68,0,0,0,0,0,0,0,
pnMulAdd,I32x4,354,3,1,1,1,,,538,538,0,0,0,0,0,0,16,
SI16ToUI64,U64x2,355,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
LShf,I64x2,356,2,1,1,1,,,373,373,0,0,0,0,0,0,0,
Mod,U64x4,357,2,1,1,1,,,17409,17409,0,0,0,0,0,0,0,
Mod,U8x2,358,2,1,1,1,,,177,177,0,0,0,0,0,0,0,
LXor,I64x4,359,2,1,1,1,,,109,109,0,0,0,0,0,0,0,
SI16ToSI8,I64x8,360,1,1,1,1,,,18,18,0,0,0,0,0,0,0,
F32ToUI32,F32x8,361,1,1,1,1,,,2213,2213,0,0,0,0,0,0,0,
UI8ToUI32,U64,362,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
H16ToSI32,D64,363,1,1,1,1,,,126,126,0,0,0,0,0,0,0,
Select,I8x8,364,3,1,1,1,,,65,65,0,0,0,0,0,0,0,
Select,U64,365,3,1,1,1,,,65,65,0,0,0,0,0,0,0,
SI16ToUI32,U32,366,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI8ToSI32,I64,367,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI8ToUI8,U16x4,368,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
FixedCos,U64x8,369,1,1,1,1,,,2185,2185,0,0,0,0,0,0,0,
SI16ToSI32,U64x8,370,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
FAdd,D64,371,2,1,1,1,,,2111,2111,0,0,0,0,0,0,0,
NE,U64x4,372,2,1,1,1,,,91,91,0,0,0,0,0,0,0,
FixedSin,U16x2,373,1,1,1,1,,,135,135,0,0,0,0,0,0,0,
F32ToSI16,D64x8,374,1,1,1,1,,,1795,1795,0,0,0,0,0,0,0,
UI32ToSI64,U64x8,375,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
Sub,I32x8,376,2,1,1,1,,,385,385,0,0,0,0,0,0,0,
Add,U8x4,377,2,1,1,1,,,44,44,0,0,0,0,0,0,0,
GT,I64,378,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
UI16ToH16,F32x2,379,1,1,1,1,,,139,139,0,0,0,0,0,0,0,
UI64ToH16,D64x4,380,1,1,1,1,,,1493,1493,0,0,0,0,0,0,0,
H16ToSI8,F32x2,381,1,1,1,1,,,308,308,0,0,0,0,0,0,0,
SI32ToF32,F32x8,382,1,1,1,1,,,1748,1748,0,0,0,0,0,0,0,
SI32ToSI8,U32x2,383,1,1,1,1,,,12,12,0,0,0,0,0,0,0,
UI64ToSI32,U64x4,384,1,1,1,1,,,30,30,0,0,0,0,0,0,0,
RShf,I16x2,385,2,1,1,1,,,72,72,0,0,0,0,0,0,0,
LXor,I8x4,386,2,1,1,1,,,21,21,0,0,0,0,0,0,0,
UI64ToSI32,I64x4,387,1,1,1,1,,,30,30,0,0,0,0,0,0,0,
SI32ToUI32,U32x8,388,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
F32ToSI32,F32x4,389,1,1,1,1,,,1204,1204,0,0,0,0,0,0,0,
SI32ToH16,D64x2,390,1,1,1,1,,,437,437,0,0,0,0,0,0,0,
SI32ToSI8,I32x4,391,1,1,1,1,,,24,24,0,0,0,0,0,0,0,
UI16ToUI8,I32x8,392,1,1,1,1,,,18,18,0,0,0,0,0,0,0,
LAnd,H16,393,2,1,1,1,,,10,10,0,0,0,0,0,0,0,
UI16ToH16,H16,394,1,1,1,1,,,76,76,0,0,0,0,0,0,0,
pnMulAdd,I64,395,3,1,1,1,,,360,360,0,0,0,0,0,0,16,
H16ToD64,D64x4,396,1,1,1,1,,,634,634,0,0,0,0,0,0,0,
SI16ToUI8,I16x2,397,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
SI32ToSI8,U64x4,398,1,1,1,1,,,24,24,0,0,0,0,0,0,0,
SI8ToUI16,U64x2,399,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI16ToUI8,U32x2,400,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
F32ToSI32,F32x8,401,1,1,1,1,,,2313,2313,0,0,0,0,0,0,0,
UI8ToUI16,U16x4,402,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI16ToUI8,I64,403,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
FEQ,D64,404,2,1,1,1,,,533,533,0,0,0,0,0,0,0,
SI8ToUI8,U64x8,405,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
SI64ToUI32,U64x4,406,1,1,1,1,,,29,29,0,0,0,0,0,0,0,
Mul,I32x4,407,2,1,1,1,,,282,282,0,0,0,0,0,0,16,
GT,U16,408,2,1,1,1,,,10,10,0,0,0,0,0,0,0,
pnMulAdd,U32,409,3,1,1,1,,,135,135,0,0,0,0,0,0,4,
Mul,U32,410,2,1,1,1,,,71,71,0,0,0,0,0,0,4,
LT,I32x2,411,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
Sub,U32x2,412,2,1,1,1,,,97,97,0,0,0,0,0,0,0,
SI8ToSI16,U32x2,413,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
UI16ToUI8,U32,414,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI32ToUI16,U32x2,415,1,1,1,1,,,9,9,0,0,0,0,0,0,0,
SI8ToSI64,I64,416,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
FEQ,H16x8,417,2,1,1,1,,,635,635,0,0,0,0,0,0,0,
UI32ToUI64,I64x2,418,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
FixedSin,U64x4,419,1,1,1,1,,,1350,1350,0,0,0,0,0,0,0,
SI16ToF32,D64x4,420,1,1,1,1,,,282,282,0,0,0,0,0,0,0,
H16ToUI32,D64x4,421,1,1,1,1,,,556,556,0,0,0,0,0,0,0,
LE,U32x4,422,2,1,1,1,,,67,67,0,0,0,0,0,0,0,
D64ToSI64,D64x2,423,1,1,1,1,,,1506,1506,0,0,0,0,0,0,0,
LAnd,U8x8,424,2,1,1,1,,,41,41,0,0,0,0,0,0,0,
LOr,F32,425,2,1,1,1,,,21,21,0,0,0,0,0,0,0,
UI8ToSI32,U64x4,426,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
FLE,F32,427,2,1,1,1,,,225,225,0,0,0,0,0,0,0,
FGE,F32x8,428,2,1,1,1,,,1874,1874,0,0,0,0,0,0,0,
LNot,F32x4,429,1,1,1,1,,,29,29,0,0,0,0,0,0,0,
H16ToSI16,D64x4,430,1,1,1,1,,,520,520,0,0,0,0,0,0,0,
Sub,I8,431,2,1,1,1,,,11,11,0,0,0,0,0,0,0,
FEQ,F32x4,432,2,1,1,1,,,900,900,0,0,0,0,0,0,0,
LOr,U8x4,433,2,1,1,1,,,21,21,0,0,0,0,0,0,0,
UI8ToH16,H16,434,1,1,1,1,,,20,20,0,0,0,0,0,0,0,
LAnd,I16x2,435,2,1,1,1,,,19,19,0,0,0,0,0,0,0,
SI16ToUI8,U64x2,436,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
Mul,I8,437,2,1,1,1,,,68,68,0,0,0,0,0,0,0,
UI16ToD64,D64,438,1,1,1,1,,,76,76,0,0,0,0,0,0,0,
UI8ToSI8,I8x8,439,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
Mod,U8,440,2,1,1,1,,,88,88,0,0,0,0,0,0,0,
Sub,U64x2,441,2,1,1,1,,,193,193,0,0,0,0,0,0,0,
UI64ToF32,D64,442,1,1,1,1,,,374,374,0,0,0,0,0,0,0,
LXor,I16x2,443,2,1,1,1,,,14,14,0,0,0,0,0,0,0,
FAdd,F32x2,444,2,1,1,1,,,1663,1663,0,0,0,0,0,0,0,
UI16ToUI32,U64,445,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
H16ToD64,D64,446,1,1,1,1,,,161,161,0,0,0,0,0,0,0,
LShf,U16x8,447,2,1,1,1,,,282,282,0,0,0,0,0,0,0,
UI8ToH16,F32x2,448,1,1,1,1,,,45,45,0,0,0,0,0,0,0,
