Oper,DataType,Code,#Operand,#Result,Latency,Throughput,UMC28-Area (um2),UMC28-Power (uW),VU9P-TotalLUTs,VU9P-LogicLUTs,VU9P-LUTRAMs,VU9P-SRLs,VU9P-FFs,VU9P-RAMB36,VU9P-RAMB18,VU9P-URAM,VU9P-DSPBlocks,Notes
SI8ToUI32,U64,1970,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI16ToF32,F32x8,1971,1,1,1,1,,,528,528,0,0,0,0,0,0,0,
H16ToUI16,F32,1972,1,1,1,1,,,117,117,0,0,0,0,0,0,0,
RShf,U8x8,1973,2,1,1,1,,,97,97,0,0,0,0,0,0,0,
Mul,I8x2,1974,2,1,1,1,,,136,136,0,0,0,0,0,0,0,
GE,I64x4,1975,2,1,1,1,,,131,131,0,0,0,0,0,0,0,
npMulAdd,I64x2,1976,3,1,1,1,,,716,716,0,0,0,0,0,0,32,
LOr,H16x8,1977,2,1,1,1,,,73,73,0,0,0,0,0,0,0,
Sub,U8,1978,2,1,1,1,,,11,11,0,0,0,0,0,0,0,
LShf,U8x2,1979,2,1,1,1,,,25,25,0,0,0,0,0,0,0,
SI8ToUI64,I64x2,1980,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI8ToSI16,I32x2,1981,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
Mod,I32x8,1982,2,1,1,1,,,10124,10124,0,0,0,0,0,0,0,
UI16ToSI8,U64x4,1983,1,1,1,1,,,10,10,0,0,0,0,0,0,0,
FixedSin,U8x2,1984,1,1,1,1,,,62,62,0,0,0,0,0,0,0,
SI32ToUI64,I64x8,1985,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
SI32ToUI64,U64x4,1986,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
SI32ToUI8,I64x8,1987,1,1,1,1,,,44,44,0,0,0,0,0,0,0,
LNot,I32x4,1988,1,1,1,1,,,29,29,0,0,0,0,0,0,0,
LNot,D64x2,1989,1,1,1,1,,,46,46,0,0,0,0,0,0,0,
